ENTITY_NAME,ENTITY_STATE,ENTITY_FIP_CODE,ENTITY_TYPE,MODULE_SEX_AGE,HC01_VC03,MALE_FEMALE_CDP,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC01_VC05,HC02_VC05,HC03_VC05,AGE_DISTRIBUTION_CDP,HC01_VC08,HC02_VC08,HC03_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC01_VC39,HC02_VC39,HC03_VC39,MODULE_RACE,HC01_VC43,HC02_VC43,HC03_VC43,HC01_VC44,HC02_VC44,HC03_VC44,RACE_DISTRIBUTION_CDP,HC01_VC45,HC02_VC45,HC03_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC01_VC83,HC02_VC83,HC03_VC83,MODULE_HISPANIC,HC01_VC87,HC02_VC87,HC03_VC87,HISPANIC_CDP,HC01_VC88,HC02_VC88,HC03_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC01_VC104,HC02_VC104,HC03_VC104
Aberdeen,South Dakota,10100,Micro,Sex and Age,41509,Male vs Female Percent,40280,*,49.3,49.2,,50.7,50.8,,Age Distribution,6.3,6.4,,6.6,6.1,,6.2,6.5,,7,7.3,,7,7,,12.9,11.8,*,11.3,10.5,*,13.4,15.2,*,7.1,6.7,,6,5.4,,7.5,7.6,,5.6,6.1,,3,3.4,,39.3,40.2,,76.9,76.7,,72.2,71.5,,19.4,19.9,,16.2,17,*,31922,30903,*,48.9,48.5,,51.1,51.5,,6704,6861,,42.7,42.4,,57.3,57.6,,Race,41509,40280,*,99.1,98.9,,Race Distribution,0.9,1.1,,99.1,98.9,,93.4,94.2,*,1.1,0.6,,3.6,3.5,,N,(X),,N,(X),,N,(X),,N,(X),,0.9,0.5,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0,0,,N,(X),,N,(X),,N,(X),,N,(X),,0,0.1,,0.9,1.1,,N,0.2,,N,0.6,,N,0.2,,N,0,,41509,40280,*,94.2,95.3,*,1.4,0.8,*,4.4,4.1,,0.9,0.8,,N,N,,N,N,,Hispanic or Latino,41509,40280,*,Hispanic or Latino,1.8,1.5,*,N,N,,N,N,,N,N,,N,N,,98.2,98.5,*,91.7,93.3,*,1.1,0.4,*,3.6,3.2,,0.9,0.5,,0,0,,0,0,,0.9,1.1,,0,0,,0.9,1.1,,18987,18563,*
Aberdeen,Washington,10140,Micro,Sex and Age,71720,Male vs Female Percent,72459,c,51.3,51.1,,48.7,48.9,,Age Distribution,5.6,5.8,*,5.3,6,,6.4,6.1,,6.1,6.7,*,6,6.1,,11.9,11.3,*,11.7,12.3,*,13.6,15.1,*,8.3,7.9,,7.5,6.7,,10.4,9.1,*,5.1,5.3,,1.9,1.6,,42.3,41.8,,78.7,78.1,*,74.8,74.2,*,22.2,19.2,*,17.4,16,*,56476,56606,*,51.4,51.5,,48.6,48.5,,12499,11606,*,47.2,47.5,,52.8,52.5,,Race,71720,72459,c,96.7,96.2,,Race Distribution,3.3,3.8,,96.7,96.2,,86.5,86.7,,1.4,1.1,,4.4,4.1,,0.1,(X),,0.2,(X),,0,(X),,0,(X),,1.5,1.3,,0,(X),,0.1,(X),,0.4,(X),,0.1,(X),,0.2,(X),,0.2,(X),,0.6,(X),,0.4,0.2,*,N,(X),,N,(X),,N,(X),,N,(X),,2.5,2.7,,3.3,3.8,,0.3,0.3,,1.7,2,,0.5,0.7,,0,0,,71720,72459,c,89.6,90.4,,1.8,1.6,,6.4,6.6,,2.3,2,*,0.8,0.4,*,2.9,3.1,,Hispanic or Latino,71720,72459,c,Hispanic or Latino,9.3,8.5,c,7.6,7,,0.1,0.1,,0.1,0,,1.6,1.4,,90.7,91.5,c,80.6,81.7,*,1.3,1.1,,4.2,4.1,,1.4,1.2,,0.3,0.2,*,0.1,0.1,,2.9,3.2,,0,0,,2.8,3.1,,35148,35059,
Abilene,Texas,10180,Metro,Sex and Age,167165,Male vs Female Percent,164016,c,50.6,50.2,*,49.4,49.8,*,Age Distribution,6.8,7,,7,6.1,*,5.9,6.6,*,7.2,8.1,*,10.2,8.9,*,14,13.6,*,11.4,11.9,*,12.3,13.7,*,5.9,5.7,,5.2,4.8,,7.6,7.1,*,4.8,4.7,,1.7,1.7,,34.1,34.8,*,76.6,76.4,*,70.9,70,*,17,16.2,*,14.1,13.6,*,127998,125254,*,50.4,49.9,*,49.6,50.1,*,23616,22239,*,42.8,41.8,*,57.2,58.2,*,Race,167165,164016,c,97.6,97.4,,Race Distribution,2.4,2.6,,97.6,97.4,,83.3,82.8,,8.2,7.4,,0.4,0.6,,N,(X),,N,(X),,N,(X),,N,(X),,1.5,1.2,*,0.1,(X),,0.4,(X),,0.2,(X),,0.1,(X),,0.1,(X),,0,(X),,0.7,(X),,0,0.1,,N,(X),,N,(X),,N,(X),,N,(X),,4.2,5.4,*,2.4,2.6,,0.7,0.5,,0.6,0.5,,0.3,0.4,,0.1,0.1,,167165,164016,c,85.3,85,,9.2,8.2,*,1.1,1.3,,2,1.8,*,0,0.1,,4.8,6.3,*,Hispanic or Latino,167165,164016,c,Hispanic or Latino,21.9,20.9,*,19.9,18.4,*,0.3,0.4,,0.1,0,,1.6,2,,78.1,79.1,*,66.9,68.2,*,7.8,6.8,*,0.3,0.4,,1.5,1.2,*,0,0.1,,0,0.8,*,1.6,1.6,,0.1,0.1,,1.5,1.5,,70187,69501,
Ada,Oklahoma,10220,Micro,Sex and Age,37876,Male vs Female Percent,37179,c,48.8,48.4,,51.2,51.6,,Age Distribution,7,7,,6.1,7.7,*,7,5,*,7.1,7.6,,9.1,9,,13.2,12.9,,11.3,11.1,,12.6,13.4,*,5.8,5.9,,5.6,5.6,,8.5,8,*,4.8,5.1,,1.9,1.7,,35.4,35.4,,76.2,76.5,*,70.9,71,,18.3,18.3,,15.2,14.8,*,28843,28435,*,48,47.8,,52,52.2,,5761,5494,*,44.2,42.8,*,55.8,57.2,*,Race,37876,37179,c,82.6,83.5,,Race Distribution,17.4,16.5,,82.6,83.5,,71.8,73.2,*,2.5,2.3,,7.1,7.8,,N,(X),,N,(X),,N,(X),,N,(X),,0.9,0.1,*,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0,0,,N,(X),,N,(X),,N,(X),,N,(X),,0.3,0.1,,17.4,16.5,,0.4,0.6,,15.1,14.8,,0.1,0.2,,0.8,0.3,,37876,37179,c,88.3,89.3,,4.7,3.2,*,23.9,23,*,1.1,0.9,*,N,0.5,,0.4,N,,Hispanic or Latino,37876,37179,c,Hispanic or Latino,4.3,4.1,c,N,N,,N,N,,N,N,,N,N,,95.7,95.9,c,68.3,69.9,*,2.5,2.3,,7.1,7.5,,0.9,0.1,*,0,0,,0,0.1,,16.9,16,,0,0,,16.9,16,,16649,16537,
Adrian,Michigan,10300,Micro,Sex and Age,99211,Male vs Female Percent,100394,c,50.6,50.3,*,49.4,49.7,*,Age Distribution,5.5,5.8,*,6.1,6.7,,6.5,6.6,,7.4,7.6,,6.8,6.1,*,10.8,11.3,,12.5,13.2,*,14.7,15.6,*,7.1,7.4,,6.9,5.7,*,8.7,7.7,*,5,4.7,,2,1.8,,40.7,39.8,*,77.6,76.6,*,72.8,72,*,19.9,17.4,*,15.7,14.2,*,77036,76855,*,50.1,50,,49.9,50,,15552,14270,*,43.6,42.8,*,56.4,57.2,*,Race,99211,100394,c,97.3,97.9,,Race Distribution,2.7,2.1,,97.3,97.9,,92.6,92.4,,2.5,2.5,,0.6,0.5,,N,(X),,N,(X),,N,(X),,N,(X),,0.3,0.5,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0,0,,N,(X),,N,(X),,N,(X),,N,(X),,1.3,2,,2.7,2.1,,1.1,0.7,,0.6,0.6,,0.4,0.1,*,0,0,,99211,100394,c,95,94.4,,3.9,3.3,*,1.4,1.2,,0.9,0.6,*,N,N,,1.6,2.7,*,Hispanic or Latino,99211,100394,c,Hispanic or Latino,7.6,7.5,c,6.5,6.5,,0.5,0.6,,0.1,0,*,0.6,0.5,,92.4,92.5,c,87.3,87.6,*,2.2,2.4,,0.4,0.4,,0.3,0.5,,0,0,,0,0.2,,2.1,1.4,*,0,0.1,,2,1.3,*,43317,43426,
Aguadilla-Isabela,Puerto Rico,10380,Metro,Sex and Age,332185,Male vs Female Percent,307515,c,48.9,48.9,,51.1,51.1,,Age Distribution,5.4,6,c,6.1,6.6,*,6.8,7.3,*,7.3,7.5,*,6.8,6.6,*,12.5,13,*,12.9,13.3,*,13.4,13.3,c,6,6.1,,6.6,6.1,*,9.8,8.5,c,4.9,3.9,*,1.5,1.7,,39,37.4,*,77.2,75.6,c,72.6,71.2,*,20.2,17.7,*,16.1,14.2,c,256475,232526,c,48,48,c,52,52,c,53632,43568,c,46.1,46.3,c,53.9,53.7,c,Race,332185,307515,c,84.8,97.5,*,Race Distribution,15.2,2.5,*,84.8,97.5,*,72.1,88,*,2.8,3.6,*,0.1,0.2,,N,(X),,N,(X),,N,(X),,N,(X),,0.3,0.1,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0,0,,N,(X),,N,(X),,N,(X),,N,(X),,9.5,5.6,*,15.2,2.5,*,14.7,1.8,*,0,0,*,0,0,,0.1,0,*,332185,307515,c,87.2,90.4,*,17.6,5.5,*,0.3,0.2,,0.4,0.2,*,N,N,,9.8,6.2,*,Hispanic or Latino,332185,307515,c,Hispanic or Latino,97.6,97.5,,0.2,0.4,*,96.6,96.1,,0.2,0.1,,0.6,0.9,*,2.4,2.5,,1.1,2,*,0,0.1,*,0,0,,0.1,0.1,,0,0,,0.1,0.1,,1,0.1,*,0,0,,1,0.1,*,145797,125199,*
Akron,Ohio,10420,Metro,Sex and Age,705353,Male vs Female Percent,703204,c,48.4,48.4,,51.6,51.6,,Age Distribution,5.5,5.7,*,5.8,6,,6.3,6.7,*,7.4,7.5,*,7.8,7.2,*,11.9,11.7,*,12,13,*,14.8,15.6,*,7.3,6.9,*,6.4,5.7,*,8,7.2,*,4.6,4.9,*,2.3,2,*,39.9,39.4,*,78.5,77.4,*,73.4,72.6,*,18.7,17.2,*,14.9,14.1,*,553405,544108,*,47.8,47.7,,52.2,52.3,,105116,98893,*,42.9,41.9,*,57.1,58.1,*,Race,705353,703204,c,97.4,98.1,*,Race Distribution,2.6,1.9,*,97.4,98.1,*,82.9,83.6,*,11.8,12,,0.2,0.1,,N,(X),,N,(X),,N,(X),,N,(X),,2.2,2,*,0.6,(X),,0.5,(X),,0.1,(X),,0.1,(X),,0.2,(X),,0.2,(X),,0.5,(X),,0,0,*,N,(X),,N,(X),,N,(X),,N,(X),,0.3,0.4,,2.6,1.9,*,1.3,0.9,*,0.4,0.4,,0.4,0.2,*,0.1,0.1,,705353,703204,c,85.3,85.3,,13.5,13.1,*,0.8,0.7,,2.7,2.3,*,0.1,N,,0.5,0.5,,Hispanic or Latino,705353,703204,c,Hispanic or Latino,1.7,1.5,c,0.8,0.8,,0.4,0.3,*,0,0,,0.5,0.4,,98.3,98.5,c,81.7,82.5,*,11.7,11.9,,0.1,0.1,,2.2,2,*,0,0,,0.1,0.2,,2.4,1.8,*,0.1,0,,2.3,1.7,*,312515,312206,
Alamogordo,New Mexico,10460,Micro,Sex and Age,65678,Male vs Female Percent,63081,c,51.1,50.4,*,48.9,49.6,*,Age Distribution,7.6,7.4,,8.1,7.8,,5.4,5.5,,6.4,7,,8.6,7.3,*,13.6,13.2,,10.7,11.4,*,12.4,13.6,*,5,5.8,,6.8,6.1,,8.8,8.7,,4.5,4.9,,2,1.1,*,35.3,36.3,*,75.3,75,c,71,70.4,,19.5,18.5,*,15.3,14.8,*,49425,47329,c,50.9,50.3,*,49.1,49.7,*,10029,9311,*,47.5,46.7,,52.5,53.3,,Race,65678,63081,c,95.9,97.5,*,Race Distribution,4.1,2.5,*,95.9,97.5,*,75.2,81.5,*,3.7,3.9,,6.8,7,,0.2,(X),,0,(X),,0.4,(X),,0,(X),,1.4,1.5,,0.1,(X),,0,(X),,0.4,(X),,0.1,(X),,0.4,(X),,0.1,(X),,0.3,(X),,0,0.1,,N,(X),,N,(X),,N,(X),,N,(X),,8.8,3.4,*,4.1,2.5,*,1.2,0.6,,0.7,0.5,,0.7,0.3,*,0,0,,65678,63081,c,79.1,83.9,*,5.1,4.5,,7.7,7.7,,2.2,1.8,,N,0.3,,10.2,4.3,*,Hispanic or Latino,65678,63081,c,Hispanic or Latino,35.2,34.5,c,28.4,30.4,,0.7,0.3,,0.1,0,,6,3.8,*,64.8,65.5,c,51.8,53,*,3.6,3.4,,6.2,6.2,,1.1,1.3,,0,0.1,*,0.1,0,,2,1.4,,0.2,0.1,,1.8,1.3,,30859,30955,
Albany,Georgia,10500,Metro,Sex and Age,156956,Male vs Female Percent,157282,,47.5,47.7,,52.5,52.3,,Age Distribution,7.1,7.2,,7.1,7.3,,7,7.3,,7.2,8.1,*,7.9,7.9,,12.9,12.3,*,12.4,12.7,,13.2,13.8,*,6.3,6.2,,6.1,5.3,*,7.4,6.8,*,3.8,3.6,,1.6,1.6,,35.5,35,,74.6,73.6,*,69.8,68.4,*,16.4,14.9,*,12.8,12,*,117086,115836,*,46.2,46.2,,53.8,53.8,,20087,18861,*,40.9,41.4,,59.1,58.6,,Race,156956,157282,,98.7,98.8,,Race Distribution,1.3,1.2,,98.7,98.8,,43.9,45,*,53,51.9,*,0.1,0.1,,N,(X),,N,(X),,N,(X),,N,(X),,1,1,,0.2,(X),,0.1,(X),,0.2,(X),,0.1,(X),,0.1,(X),,0,(X),,0.3,(X),,0,0,,N,(X),,N,(X),,N,(X),,N,(X),,0.7,0.8,,1.3,1.2,,0.4,0.4,,0.3,0.2,,0.3,0.2,,0,0.2,,156956,157282,,45,45.9,*,53.6,52.6,*,0.4,0.6,,1.4,1.3,,0.1,N,,0.9,0.9,,Hispanic or Latino,156956,157282,,Hispanic or Latino,2.2,2.1,,1.1,1,,0.3,0.3,,0.1,0,,0.8,0.7,,97.8,97.9,,42.5,44.1,*,52.9,51.6,*,0.1,0.1,,1,1,,0,0,,0.2,0,,1.2,1,,0.1,0,,1.1,1,,66138,66269,
Albany,Oregon,10540,Metro,Sex and Age,118450,Male vs Female Percent,115959,c,49.6,49.5,,50.4,50.5,,Age Distribution,6.5,6.7,*,6.5,6.7,,6.8,6.9,,6.2,6.7,*,6.5,5.6,*,12.2,12.3,,12.2,12.5,,13,14.2,*,6.8,6.7,,7,6.5,,9.3,8.3,*,5.1,4.8,,1.8,2.1,,39.3,39.2,,76.3,75.6,*,72.3,72,,20.3,19.2,*,16.2,15.3,*,90403,87638,*,48.8,48.9,,51.2,51.1,,19189,17696,*,46.1,44.9,*,53.9,55.1,*,Race,118450,115959,c,97.6,97.6,,Race Distribution,2.4,2.4,,97.6,97.6,,93,91.4,*,0.5,0.5,,1.7,1.9,,0.2,(X),,0.1,(X),,0,(X),,0,(X),,1.2,0.8,*,0.3,(X),,0,(X),,0.2,(X),,0.2,(X),,0.1,(X),,0.1,(X),,0.3,(X),,0.1,0.2,*,N,(X),,N,(X),,N,(X),,N,(X),,1.1,2.7,*,2.4,2.4,,0.3,0.3,,1.3,0.8,,0.3,0.6,*,0,0,,118450,115959,c,95.3,93.8,*,0.9,0.9,,3,2.8,,1.7,1.5,*,0.2,0.3,,1.4,3.3,*,Hispanic or Latino,118450,115959,c,Hispanic or Latino,8.1,7.6,c,7.2,6.8,,0.2,0.2,,0.1,0,,0.7,0.6,,91.9,92.4,c,86.6,87.3,*,0.5,0.4,,1.5,1.7,,1.2,0.8,*,0.1,0.2,*,0,0.1,,1.9,1.8,,0,0.1,,1.9,1.7,,48823,48585,
