ENTITY_NAME,ENTITY_STATE,ENTITY_FIP_CODE,ENTITY_TYPE,MODULE_SEX_AGE,HC01_VC03,MALE_FEMALE_CDP,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC01_VC05,HC02_VC05,HC03_VC05,AGE_DISTRIBUTION_CDP,HC01_VC08,HC02_VC08,HC03_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC01_VC39,HC02_VC39,HC03_VC39,MODULE_RACE,HC01_VC43,HC02_VC43,HC03_VC43,HC01_VC44,HC02_VC44,HC03_VC44,RACE_DISTRIBUTION_CDP,HC01_VC45,HC02_VC45,HC03_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC01_VC83,HC02_VC83,HC03_VC83,MODULE_HISPANIC,HC01_VC87,HC02_VC87,HC03_VC87,HISPANIC_CDP,HC01_VC88,HC02_VC88,HC03_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC01_VC104,HC02_VC104,HC03_VC104
Alabaster city,Alabama,100820,City,Sex and Age,31045,Male vs Female Percent,30073,*,48.6,47.7,,51.4,52.3,,Age Distribution,5.9,7.4,,8.2,7.6,,8.1,6.7,,7.9,6.6,,5.8,3.7,*,12.9,13.8,,16.3,17.2,,15.1,15.6,,4.7,7.3,*,4.5,4.3,,6.3,5.8,,3,2.4,,1.2,1.6,,35.8,37.3,,72.9,73.4,,68.6,71,,13,12.2,,10.5,9.8,,22632,22063,,47.8,48,,52.2,52,,3251,2951,,43.4,41.4,,56.6,58.6,,Race,31045,30073,*,98.4,98.8,,Race Distribution,1.6,1.2,,98.4,98.8,,76.7,78.8,,14.1,13.4,,0.2,0.3,,N,(X),,N,(X),,N,(X),,N,(X),,0.3,0.6,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0,0,,N,(X),,N,(X),,N,(X),,N,(X),,7.2,5.6,,1.6,1.2,,N,0.6,,N,0.3,,N,0.2,,N,0,,31045,30073,*,78,80,,14.6,14,,0.8,0.7,,0.4,0.8,,N,N,,7.7,5.7,,Hispanic or Latino,31045,30073,*,Hispanic or Latino,11.1,8.3,,7.1,N,,1.5,N,,0.1,N,,2.4,N,,88.9,91.7,,N,76.3,,N,13.4,,N,0.3,,N,0.6,,N,0,,N,0.2,,N,1,,N,0,,N,1,,11408,11579,
Albertville city,Alabama,100988,City,Sex and Age,21464,Male vs Female Percent,20857,*,49.2,50.6,,50.8,49.4,,Age Distribution,7.9,9.3,,9.3,7.2,,8.7,4.6,*,5.7,7.5,,4.9,9,*,15.1,15.7,,13.5,12.2,,10.6,11.1,,4.6,5.9,,5.8,4,,7.9,6.9,,3.8,5.1,,2.2,1.4,,33.7,31.8,,70.2,74.2,*,67.9,70.5,,17.4,15.9,,13.9,13.4,,15067,15475,,49.2,48.6,,50.8,51.4,,2988,2796,,43.1,41.4,,56.9,58.6,,Race,21464,20857,*,97.7,99.2,,Race Distribution,2.3,0.8,,97.7,99.2,,91.5,95.4,*,1.7,0.9,,0.3,0.2,,N,(X),,N,(X),,N,(X),,N,(X),,0.1,0.3,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0,0.6,,N,(X),,N,(X),,N,(X),,N,(X),,4,1.9,,2.3,0.8,,N,N,,N,N,,N,N,,N,N,,21464,20857,*,93.1,96.2,,3.1,1.4,,1,N,,N,N,,N,N,,4.7,2,,Hispanic or Latino,21464,20857,*,Hispanic or Latino,24.8,23.8,,N,N,,N,N,,N,N,,N,N,,75.2,76.2,,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,8274,7625,
Anniston city,Alabama,101852,City,Sex and Age,22781,Male vs Female Percent,23223,*,47.5,48.6,,52.5,51.4,,Age Distribution,5.7,5.5,,5,5.5,,4.8,3.7,,5,5.4,,8.1,6.8,,13.1,14.5,,11,12,,12.1,14.5,*,7.8,9.1,,7.6,5.8,,10.6,8.5,*,6.5,6.6,,2.6,2,,42.3,42.5,,80.5,82,,77.3,78.7,,24,20,*,19.8,17.1,*,18344,19039,,46.8,48.2,,53.2,51.8,,4503,3965,,37.3,41.6,,62.7,58.4,,Race,22781,23223,*,98.2,N,,Race Distribution,1.8,N,,98.2,N,,45.1,N,,51.1,N,,0.1,N,,N,(X),,N,(X),,N,(X),,N,(X),,1.5,N,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0,N,,N,(X),,N,(X),,N,(X),,N,(X),,0.4,N,,1.8,N,,N,N,,N,N,,N,N,,N,N,,22781,23223,*,46.8,46.1,,52.2,53.5,,0.7,N,,1.6,0.6,,N,N,,0.6,N,,Hispanic or Latino,22781,23223,*,Hispanic or Latino,2.5,2,,N,N,,N,N,,N,N,,N,N,,97.5,98,,44.3,44.2,,50.1,52.4,,0.1,0.1,,1.5,0.6,,0,0,,0,0,,1.5,0.7,,0,0,,1.5,0.7,,12184,12315,
Athens city,Alabama,102956,City,Sex and Age,23433,Male vs Female Percent,21565,*,46.8,43.3,,53.2,56.7,,Age Distribution,5.9,8.4,*,7.3,6.5,,6.8,5.8,,7.6,6.8,,7,6.1,,13.6,11.9,,12.3,11.4,,12.4,16.5,*,5.7,5.6,,6.6,5.6,,8.3,7.5,,4.2,5.4,,2.3,2.5,,36.3,38.5,,75.1,75.1,,71.2,71.5,,18.7,18.8,,14.8,15.4,,17589,16200,*,45.8,42.8,,54.2,57.2,,3472,3331,,42.2,36.3,*,57.8,63.7,*,Race,23433,21565,*,97.7,N,,Race Distribution,2.3,N,,97.7,N,,74.4,N,,17.5,N,,0.6,N,,N,(X),,N,(X),,N,(X),,N,(X),,0.3,N,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0.3,N,,N,(X),,N,(X),,N,(X),,N,(X),,4.6,N,,2.3,N,,1.4,N,,0.5,N,,0,N,,0.1,N,,23433,21565,*,76.5,79.2,,19.1,19.8,,1.2,0.5,,N,N,,N,N,,4.9,N,,Hispanic or Latino,23433,21565,*,Hispanic or Latino,9.5,9.1,,N,N,,N,N,,N,N,,N,N,,90.5,90.9,,69.9,N,,17.3,N,,0.5,N,,0.3,N,,0.2,N,,0.2,N,,2.2,N,,0.2,N,,2,N,,9647,9602,
Auburn city,Alabama,103076,City,Sex and Age,56849,Male vs Female Percent,52306,*,50.9,49.7,,49.1,50.3,,Age Distribution,4.8,5.7,,5.2,4.6,,5,4,,13.3,14.3,,26.6,28.7,*,14.3,12.5,*,9.6,9,,8.2,9,,3.1,3.4,,3.1,2.9,,4.2,2.8,*,1.6,1.9,,1,1.3,,23.5,23.1,,81.7,83,,63.9,63.1,,8.7,7.3,*,6.8,5.9,,46456,43415,*,50.4,49.1,,49.6,50.9,,3887,3112,*,44.2,42.1,,55.8,57.9,,Race,56849,52306,*,98.6,98.8,,Race Distribution,1.4,1.2,,98.6,98.8,,72.3,76,*,17.5,17.3,,0.1,0.3,,N,(X),,N,(X),,N,(X),,N,(X),,6.8,4.9,*,0.9,(X),,1.9,(X),,0,(X),,0.1,(X),,3,(X),,0.6,(X),,0.1,(X),,0.1,0,,N,(X),,N,(X),,N,(X),,N,(X),,1.7,0.2,,1.4,1.2,,0.6,0.1,,0.3,0.6,,0.4,0.3,,0,0.1,,56849,52306,*,73.7,77.1,*,18.2,17.5,,0.5,0.9,,7.2,5.3,*,N,0.1,,1.7,0.3,,Hispanic or Latino,56849,52306,*,Hispanic or Latino,3.3,2.7,,N,1.1,,N,0.3,,N,0.1,,N,1.3,,96.7,97.3,,70.8,73.9,*,17.3,17.2,,0.1,0.2,,6.8,4.9,*,0.1,0,,0.1,0,,1.4,1.1,,0,0,,1.4,1.1,,24817,23883,
Bessemer city,Alabama,105980,City,Sex and Age,27187,Male vs Female Percent,27615,*,47.5,44.9,,52.5,55.1,,Age Distribution,7.1,7,,7.5,7.7,,6.9,5,,6.8,5.6,,5.5,7,,12.9,11,,11,14.8,*,13.4,11.9,,7.7,7.8,,5.4,7.2,*,7.4,7.5,,5.3,5.2,,3.2,2.3,,38.6,40.5,,74.1,76.7,,70.7,73.9,,18.9,19.5,,15.9,15,,20152,21167,*,45.2,44.2,,54.8,55.8,,4311,4147,,38,34.1,,62,65.9,,Race,27187,27615,*,N,N,,Race Distribution,N,N,,N,N,,N,N,,N,N,,N,N,,N,(X),,N,(X),,N,(X),,N,(X),,N,N,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,N,,N,(X),,N,(X),,N,(X),,N,(X),,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,27187,27615,*,24.8,23.1,,73.2,76.1,,N,N,,N,0.3,,N,N,,2.2,N,,Hispanic or Latino,27187,27615,*,Hispanic or Latino,2.5,3,,N,N,,N,N,,N,N,,N,N,,97.5,97,,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,12408,13732,*
Birmingham city,Alabama,107000,City,Sex and Age,211612,Male vs Female Percent,214087,*,46.6,46.5,,53.4,53.5,,Age Distribution,7,6.6,,5.4,5.8,,5.6,5.7,,6.2,6.6,,8.9,8.6,,15.5,15.9,,12,11.8,,13.8,14.9,*,7.2,6.4,*,5.8,5,*,6.6,6.3,,4,4.5,*,2.1,1.8,,36,35.7,,79,78.2,,74.1,73.7,,16,15.4,,12.7,12.7,,167236,167367,,45.5,45.5,,54.5,54.5,,26820,27151,,38.4,36.9,,61.6,63.1,,Race,211612,214087,*,99.1,99.3,,Race Distribution,0.9,0.7,,99.1,99.3,,23.3,22.4,,73.3,73.8,,0.2,0.2,,N,(X),,N,(X),,N,(X),,N,(X),,1.1,1,,0.7,(X),,0.2,(X),,0.1,(X),,0,(X),,0.1,(X),,0,(X),,0.1,(X),,0,0,,N,(X),,N,(X),,N,(X),,N,(X),,1.2,1.8,,0.9,0.7,,0.2,0.3,,0.3,0.1,,0.1,0.1,,0.1,0.1,,211612,214087,*,24,23,,73.7,74.3,,0.6,0.4,,1.3,1.1,,0,N,,1.3,1.9,,Hispanic or Latino,211612,214087,*,Hispanic or Latino,3.3,3.4,,2.1,2.9,*,0.2,0.1,*,0.1,0,,1,0.4,*,96.7,96.6,,21.4,20.8,,73.1,73.7,,0.1,0.2,,1.1,1,,0,0,,0.2,0.2,,0.8,0.7,,0,0,,0.8,0.7,,111582,110753,
Daphne city,Alabama,119648,City,Sex and Age,22963,Male vs Female Percent,21250,*,48.9,50.7,,51.1,49.3,,Age Distribution,7.8,6.7,,6.6,6,,5.7,6.4,,6.2,6.1,,6.5,4.2,,12.7,10.2,,17,14.7,,12,17.6,*,6.6,5.1,,5.5,6.1,,7.6,8.7,,4,6.2,*,1.8,1.9,,37.7,41.3,*,75.3,76.9,,73,73.1,,16.7,19.7,,13.4,16.8,*,17288,16349,,50,51.2,,50,48.8,,3077,3572,,45.6,52.3,,54.4,47.7,,Race,22963,21250,*,N,N,,Race Distribution,N,N,,N,N,,N,N,,N,N,,N,N,,N,(X),,N,(X),,N,(X),,N,(X),,N,N,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,N,,N,(X),,N,(X),,N,(X),,N,(X),,N,N,,N,N,,N,N,,N,N,,N,N,,N,N,,22963,21250,*,83.1,87.8,*,15,10.2,*,N,N,,3,2.1,,N,N,,N,N,,Hispanic or Latino,22963,21250,*,Hispanic or Latino,3.4,1.3,,N,N,,N,N,,N,N,,N,N,,96.6,98.7,,78.8,N,,14.7,N,,0,N,,1.4,N,,0,N,,0,N,,1.7,N,,0,N,,1.7,N,,9330,10506,*
Decatur city,Alabama,120104,City,Sex and Age,55801,Male vs Female Percent,55673,,48.3,48.4,,51.7,51.6,,Age Distribution,6.1,6.6,,7.4,6.5,,6.5,6.5,,5.7,6,,7.2,6.6,,12.5,13.7,,13.6,13.6,,13.9,14,,6.4,7.1,,6,5.3,,8.3,7.6,,4.4,4.5,,2.1,1.9,,37.9,37.5,,76.8,76.7,,72.9,73,,18.4,17.2,,14.8,14.1,,42871,42675,,46.9,47.7,,53.1,52.3,,8276,7830,,40.3,41.8,,59.7,58.2,,Race,55801,55673,,96.9,98.2,*,Race Distribution,3.1,1.8,*,96.9,98.2,*,70.7,69.4,,21.4,22.5,,0.7,1.2,,N,(X),,N,(X),,N,(X),,N,(X),,0.8,1,,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,N,(X),,0.1,0.1,,N,(X),,N,(X),,N,(X),,N,(X),,3.2,4.1,,3.1,1.8,*,1,0.6,,1.5,0.5,*,0.5,0,*,0.1,0.2,,55801,55673,,73.6,70.8,,22.6,23.5,,2.3,2,,1.2,1.2,,N,N,,3.3,4.4,,Hispanic or Latino,55801,55673,,Hispanic or Latino,12.8,13.5,,10.8,10.6,,0.4,0.2,,0.4,0,,1.1,2.7,*,87.2,86.5,,61.8,61.1,,21.1,22.1,,0.4,0.7,,0.8,1,,0.1,0.1,,0,0,,2.9,1.4,*,0,0.1,,2.9,1.4,*,24750,24378,
Dothan city,Alabama,121184,City,Sex and Age,67370,Male vs Female Percent,65334,*,47.7,47.6,,52.3,52.4,,Age Distribution,6.8,7,,6.7,7.2,,6.3,6.4,,6.2,7.1,*,6.4,6.1,,13.8,11.9,*,12.6,13.1,,13.6,14.9,*,6.6,6.8,,6,5.2,*,8.2,7.4,*,5,5,,1.7,2,,38.1,38.2,,76.3,75.1,*,72.9,71.2,*,18.1,17.3,*,14.9,14.3,*,51428,49080,*,46.4,46.9,,53.6,53.1,,10061,9349,*,42.4,40.9,,57.6,59.1,,Race,67370,65334,*,98.2,98.5,,Race Distribution,1.8,1.5,,98.2,98.5,,62.8,64.4,*,33,31.4,*,0.3,0.3,,N,(X),,N,(X),,N,(X),,N,(X),,1.3,1.2,,0.2,(X),,0.4,(X),,0.1,(X),,0.2,(X),,0,(X),,0.3,(X),,0.1,(X),,0,0,,N,(X),,N,(X),,N,(X),,N,(X),,0.9,1.2,,1.8,1.5,,0.8,0.8,,0.3,0.2,,0.2,0.1,,0.2,0,*,67370,65334,*,64.2,65.6,*,34.2,32.5,*,0.8,0.6,,1.6,1.4,*,0.1,0.2,,1,1.3,,Hispanic or Latino,67370,65334,*,Hispanic or Latino,2.9,2.6,,1.5,1.5,,0.5,0.3,,0.1,0.1,,0.8,0.8,,97.1,97.4,,61.2,63,*,32.7,31.4,*,0.2,0.3,,1.3,1.2,,0,0,,0.1,0.1,,1.7,1.3,,0.1,0,,1.6,1.3,,29840,29288,
