KEY,ANNOTATION,PROPERTY_DESCRIPTION,IDENTIFIER
ENTITY_NAME,CREATE_ENTITY,,NONE
ENTITY_STATE,SET_STATE,,NONE
ENTITY_FIP_CODE,SET_FIP,,NONE
ENTITY_TYPE,SET_TYPE,,NONE
MODULE_HOUSEHOLD_TYPE,CREATE_DATA_MODULE,Households By Type,hoshold_by_type
HC01_VC03,CREATE_DATA_POINT,Total Households,tot_hoshold
FAMILY_NONFAMILY_CDP,CREATE_COMPOSITE_DATA_POINT,Family vs Non Family Households,fam_vs_nonfam_hos
HC01_VC04,CREATE_DATA_FRAGMENT,Family households (families),fam_hoshold
HC01_VC05,NONE,,NONE
HC01_VC06,CREATE_SUBDATA_FRAGMENT,Married Couple family,marr_couple_fam
HC01_VC07,NONE,,NONE
HC01_VC08,CREATE_SUBDATA_FRAGMENT,Male Household- No Wife Present,male_no_wife_hoshold
HC01_VC09,NONE,,NONE
HC01_VC10,CREATE_SUBDATA_FRAGMENT,Female Household-No Husband Present,female_no_male_hoshold
HC01_VC11,NONE,,NONE
HC01_VC12,CREATE_DATA_FRAGMENT,Nonfamily households,non_fam_hoshold
HC01_VC13,CREATE_SUBDATA_FRAGMENT,Householder living alone,hosholder_liv_alone
HC01_VC14,CREATE_SUBDATA_FRAGMENT,65 years and over,hosholder_liv_alone_65_over
HC01_VC17,CREATE_DATA_POINT,Households with one or more people under 18 years,hoshold_below_18
HC01_VC18,CREATE_DATA_POINT,Households with one or more people 65 years and over,hoshold_above_65
HC01_VC21,CREATE_DATA_POINT,Average household size,ave_hoshold_size
HC01_VC22,CREATE_DATA_POINT,Average family size,ave_fam_size
MODULE_RELATIONSHIP,CREATE_DATA_MODULE,Relationship,relationship
HC01_VC26,CREATE_DATA_POINT,Population in households,pop_in_hosholds
RELATIONSHIP_CDP,CREATE_COMPOSITE_DATA_POINT,Relationship by type,relationship_by_type
HC01_VC27,CREATE_DATA_FRAGMENT,Householder,relationship_by_type_householder
HC01_VC28,CREATE_DATA_FRAGMENT,Spouse,relationship_by_type_spouse
HC01_VC29,CREATE_DATA_FRAGMENT,Child,relationship_by_type_child
HC01_VC30,CREATE_DATA_FRAGMENT,Other relatives,relationship_by_type_other_rel
HC01_VC31,CREATE_DATA_FRAGMENT,Nonrelatives,relationship_by_type_nonrel
HC01_VC32,CREATE_SUBDATA_FRAGMENT,Unmarried partner,relationship_by_type_unmar_part
MODULE_MARITIAL_STATUS,CREATE_DATA_MODULE,Maritial Status,maritial_status
HC01_VC36,CREATE_DATA_POINT,Males 15 years and over,male_15_over
MALE_MARITIAL_STATUS_CDP,CREATE_COMPOSITE_DATA_POINT,Maritial Status of Males,maritial_status_male
HC01_VC37,CREATE_DATA_FRAGMENT,Never married,maritial_status_male_never_married
HC01_VC38,CREATE_DATA_FRAGMENT,"Now married, except separated",maritial_status_male_now_married
HC01_VC39,CREATE_DATA_FRAGMENT,Separated,maritial_status_male_seperated
HC01_VC40,CREATE_DATA_FRAGMENT,Widowed,maritial_status_male_widowed
HC01_VC41,CREATE_DATA_FRAGMENT,Divorced,maritial_status_male_divorced
HC01_VC43,CREATE_DATA_POINT,Females 15 years and over,female_15_over
FEMALE_MARITIAL_STATUS_CDP,CREATE_COMPOSITE_DATA_POINT,Maritial Status of females,maritial_status_female
HC01_VC44,CREATE_DATA_FRAGMENT,Never married,maritial_status_female_never_married
HC01_VC45,CREATE_DATA_FRAGMENT,"Now married, except separated",maritial_status_female_now_married
HC01_VC46,CREATE_DATA_FRAGMENT,Separated,maritial_status_female_seperated
HC01_VC47,CREATE_DATA_FRAGMENT,Widowed,maritial_status_female_widowed
HC01_VC48,CREATE_DATA_FRAGMENT,Divorced,maritial_status_female_divorced
MODULE_FERTILITY,CREATE_DATA_MODULE,Fertility,fertitlity
HC01_VC52,CREATE_DATA_POINT,Number of women 15 to 50 years old who had a birth in the past 12 months,women_15_to_15_birth_last_12
HC01_VC53,CREATE_DATA_POINT,"Unmarried women (widowed, divorced, and never married)",women_15_to_15_birth_last_12_unmarried
FERTILITY_PER_1000_CDP,CREATE_COMPOSITE_DATA_POINT,Fertility per 1000 women,fertitlity_per_1000
HC01_VC54,CREATE_DATA_FRAGMENT,"Per 1,000 unmarried women",fertitlity_per_1000_unmarried
HC01_VC55,CREATE_DATA_FRAGMENT,"Per 1,000 women 15 to 50 years old",fertitlity_per_1000_15_to_50
HC01_VC56,CREATE_DATA_FRAGMENT,"Per 1,000 women 15 to 19 years old",fertitlity_per_1000_15_to_19
HC01_VC57,CREATE_DATA_FRAGMENT,"Per 1,000 women 20 to 34 years old",fertitlity_per_1000_20_to_34
HC01_VC58,CREATE_DATA_FRAGMENT,"Per 1,000 women 35 to 50 years old",fertitlity_per_1000_35_to_50
MODULE_GRANDPARENTS,CREATE_DATA_MODULE,Grandparents,garndparents
HC01_VC62,CREATE_DATA_POINT,Number of grandparents living with own grandchildren under 18 years,gp_with_gc_under18
HC01_VC63,CREATE_DATA_POINT,Grandparents responsible for grandchildren,gp_res_for_gc
GRANDPARENT_RESPONSIBLE_CDP,CREATE_COMPOSITE_DATA_POINT,Grandparents responsible for grandchildren -number of years,gp_res_for_gc_noy
HC01_VC65,CREATE_DATA_FRAGMENT,Less than 1 year,gp_res_for_fc_less_1yr
HC01_VC66,CREATE_DATA_FRAGMENT,1 or 2 years,gp_res_for_gc_1_or_2yr
HC01_VC67,CREATE_DATA_FRAGMENT,3 or 4 years,gp_res_for_gc_3_or_4yr
HC01_VC68,CREATE_DATA_FRAGMENT,5 or more years,gp_res_for_gc_5_or_more_yr
HC01_VC70,CREATE_DATA_POINT,Number of grandparents responsible for own grandchildren under 18 years,gp_res_own_gc_under18
HC01_VC71,CREATE_DATA_POINT,Percentage of female grandparents responsible for own grandchildren under 18 years,per_fgp_res_own_gc_under18
HC01_VC72,CREATE_DATA_POINT,Percentage of male grandparents responsible for own grandchildren under 18 years,per_mgp_res_own_gc_under18
MODULE_SCHOOL_ENROLLMENT,CREATE_DATA_MODULE,School Enrollment,school_enrollment
HC01_VC76,CREATE_DATA_POINT,Population 3 years and over enrolled in school,pop_3_over_enrolled_school
SCHOOL_ENROLLMENT_CDP,CREATE_COMPOSITE_DATA_POINT,School Enrollment by Grade,school_enrollment_by_grade
HC01_VC77,CREATE_DATA_FRAGMENT,"Nursery school, preschool",school_entollment_nur_preschool
HC01_VC78,CREATE_DATA_FRAGMENT,Kindergarten,school_enrollment_kinder_garten
HC01_VC79,CREATE_DATA_FRAGMENT,Elementary school (grades 1-8),school_enrollment_elementary
HC01_VC80,CREATE_DATA_FRAGMENT,High School (grades 9-12),school_enrollment_high_school
HC01_VC81,CREATE_DATA_FRAGMENT,College or graduate school,school_enrollment_college
MODULE_EDUCATIONAL_ATTAINMENT,CREATE_DATA_MODULE,Educational Attainment,educational_attainment
HC01_VC85,CREATE_DATA_POINT,Population 25 years and over,educational_attainment_pop_25_over
EDUCATIONAL_ATTAINMENT_CDP,CREATE_COMPOSITE_DATA_POINT,Educational Attainment levels,educational_attainment_levels
HC01_VC86,CREATE_DATA_FRAGMENT,Less than 9th grade,educational_attainment_less_9
HC01_VC87,CREATE_DATA_FRAGMENT,"9th to 12th grade, no diploma",educational_attainment_9_to_12
HC01_VC88,CREATE_DATA_FRAGMENT,High school graduate (includes equivalency),educational_attainment_high_school
HC01_VC89,CREATE_DATA_FRAGMENT,"Some college, no degree",educational_attainment_some_college
HC01_VC90,CREATE_DATA_FRAGMENT,Associates degree,educational_attainment_associates
HC01_VC91,CREATE_DATA_FRAGMENT,Bachelors degree,educational_attainment_bachelors
HC01_VC92,CREATE_DATA_FRAGMENT,Graduate or professional degree,educational_attainment_graduate
HC01_VC95,CREATE_DATA_POINT,Percent high school graduate or higher,educational_attainment_per_hs_higher
HC01_VC96,CREATE_DATA_POINT,Percent bachelors degree or higher,educational_attainment_per_bachelors_higher
MODULE_VETERAN_STATUS,CREATE_DATA_MODULE,Veteran Status,veteran_status
HC01_VC100,CREATE_DATA_POINT,Civilian population 18 years and over,veteran_status_civpop_18_over
HC01_VC101,CREATE_DATA_POINT,Civilian Veterans,veteran_status_civ_veterans
HC01_VC105,NONE,,NONE
HC01_VC106,NONE,,NONE
HC01_VC108,NONE,,NONE
HC01_VC109,NONE,,NONE
HC01_VC111,NONE,,NONE
HC01_VC112,NONE,,NONE
HC01_VC114,NONE,,NONE
HC01_VC115,NONE,,NONE
